OBJECTID,SUBJ_STATE,FEATURE,Shape__Area,Shape__Length
590,OREGON,1,27964.6765136719,811.980032864556
591,OREGON,1,18650.3485107422,549.177390619921
592,OREGON,1,116995.120605469,1938.97914147847
593,OREGON,1,124391.87109375,1860.19546654134
594,OREGON,1,7413.79565429688,395.228870681263
595,OREGON,1,22079.7757568359,583.78803481536
596,OREGON,1,2864.30187988281,222.448906083454
597,OREGON,1,45841.1748046875,762.99019329355
598,OREGON,1,167044.358886719,1892.09470354279
599,OREGON,1,9813.23425292969,370.750009501281
600,OREGON,1,3462165.85876465,12988.1678731343
601,OREGON,1,60813.8896484375,1364.1131004771
602,OREGON,1,66717.2927246094,1035.60188896093
603,OREGON,1,193950.288085938,2110.6543059003
604,OREGON,1,8079289.56469727,19254.5612382929
605,OREGON,1,21565.7530517578,592.333305751465
606,OREGON,1,386827.155761719,2809.37583402124
607,OREGON,1,54150.9307861328,902.396563982972
608,OREGON,1,2363012.58654785,8643.15398346192
609,OREGON,1,118535.294555664,1535.72412261855
610,OREGON,1,7957185.78466797,18700.1651942002
611,OREGON,1,9662.35632324219,416.276635366942
612,OREGON,1,1669.64184570313,162.031858987103
613,OREGON,1,10728.7814941406,532.758475683689
614,OREGON,1,856949.749755859,5627.18667147088
615,OREGON,1,770248.169799805,5656.00395970088
616,OREGON,1,1148913.86181641,5459.83070768052
617,OREGON,2,48039.7672729492,865.088230141847
618,OREGON,2,3446.80700683594,228.741336465746
619,OREGON,2,5057.11889648438,283.562437257435
620,OREGON,2,3005.17980957031,221.508112469641
621,OREGON,2,2687.42431640625,194.152473476042
622,OREGON,2,1847.26574707031,163.497241454436
623,OREGON,2,4459.28741455078,252.268922561001
624,OREGON,2,34602.4800415039,815.371966996077
625,OREGON,2,7717.57556152344,328.486963244217
626,OREGON,2,4620.83374023438,258.684831959789
627,OREGON,2,4017.62738037109,252.532698491137
628,OREGON,2,1411.03863525391,166.735092730044
629,OREGON,2,23599.4284667969,582.595602543575
630,OREGON,2,5245.50805664063,273.048024383526
631,OREGON,2,2730.45886230469,199.834149856401
632,OREGON,2,1841.85095214844,162.059375039236
633,OREGON,2,2762.76391601563,209.161451207553
634,OREGON,2,5374.73370361328,285.619664548727
635,OREGON,2,3635.22479248047,224.488076899636
636,OREGON,2,18111.4590454102,550.206538757839
637,OREGON,2,5288.57165527344,280.93317069893
638,OREGON,2,2294.22491455078,185.212841712434
639,OREGON,2,14395.4474487305,505.737732032005
